;Schijfgrootte;Prijs per maand;1 jaar gereserveerd Prijs per maand ;Maximum IOPS (Maximum IOPS met bursting);Maximale doorvoer (maximale doorvoer met bursting);Prijs per koppeling per maand (gedeelde schijf)
P1;4 GiB;Û 0,66;N/A;120 (3.500);25 MB/seconde (170 MB/seconde);N/A
P2;8 GiB;Û 1,32;N/A;120 (3.500);25 MB/seconde (170 MB/seconde);N/A
P3;16 GiB;Û 2,64;N/A;120 (3.500);25 MB/seconde (170 MB/seconde);N/A
P4;32 GiB;Û 4,90;N/A;120 (3.500);25 MB/seconde (170 MB/seconde);N/A
P6;64 GiB;Û 9,47;N/A;240 (3.500);50 MB/seconde (170 MB/seconde);N/A
P10;128 GiB;Û 18,29;N/A;500 (3.500);100 MB/seconde (170 MB/seconde);N/A
P15;256 GiB;Û 35,26;N/A;1.100 (3.500);125 MB/seconde (170 MB/seconde);Û 2,01
P20;512 GiB;Û 67,92;N/A;2.300 (3.500);150 MB/seconde (170 MB/seconde);Û 3,61
P30;1 TiB;Û 125,39;Û 119,12;5.000 (30.000);200 MB/seconde (1,000 MB/seconde);Û 7,21
P40;2 TiB;Û 240,29;Û 228,25;7.500 (30.000);250 MB/seconde (1,000 MB/seconde);Û 14,41
P50;4 TiB;Û 459,69;Û 436,69;7.500 (30.000);250 MB/seconde (1,000 MB/seconde);Û 28,02
P60;8 TiB;Û 877,58;Û 833,67;16.000 (30.000);500 MB/seconde (1,000 MB/seconde);Û 56,03
P70;16 TiB;Û 1.671,57;Û 1.587,93;18.000 (30.000);750 MB/seconde (1,000 MB/seconde);Û 120,05
P80;32 TiBÊ(32767 GiB);Û 3.343,13;Û 3.175,94;20.000 (30.000);900 MB/seconde (1,000 MB/seconde);Û 240,09
E1;4 GiB;Û 0,26;;500;60 MB/seconde;
E2;8 GiB;Û 0,51;;500;60 MB/seconde;
E3;16 GiB;Û 1,02;;500;60 MB/seconde;
E4;32 GiB;Û 2,03;;500;60 MB/seconde;
E6;64 GiB;Û 4,05;;500;60 MB/seconde;
E10;128 GiB;Û 8,10;;500;60 MB/seconde;
E15;256 GiB;Û 16,20;;500;60 MB/seconde;
E20;512 GiB;Û 32,39;;500;60 MB/seconde;
E30;1 TiB;Û 64,77;;500;60 MB/seconde;
E40;2 TiB;Û 129,54;;500;60 MB/seconde;
E50;4 TiB;Û 259,07;;500;60 MB/seconde;
E60;8 TiB;Û 518,13;;2.000;400 MB/seconde;
E70;16 TiB;Û 1.036,25;;4.000;600 MB/seconde;
E80;32 TiBÊ(32767 GiB);Û 2.072,50;;6.000;750 MB/seconde;
S4;32 GiB;Û 1,30;;Tot 500;Tot 60 MB/seconde;
S6;64 GiB;Û 2,54;;Tot 500;Tot 60 MB/seconde;
S10;128 GiB;Û 4,97;;Tot 500;Tot 60 MB/seconde;
S15;256 GiB;Û 9,56;;Tot 500;Tot 60 MB/seconde;
S20;512 GiB;Û 18,36;;Tot 500;Tot 60 MB/seconde;
S30;1 TiB;Û 34,55;;Tot 500;Tot 60 MB/seconde;
S40;2 TiB;Û 69,09;;Tot 500;Tot 60 MB/seconde;
S50;4 TiB;Û 138,17;;Tot 500;Tot 60 MB/seconde;
S60;8 TiB;Û 276,34;;Tot 1.300;Tot 300 MB/seconde;
S70;16 TiB;Û 552,67;;Tot 2.000;Tot 500 MB/seconde;
S80;32 TiBÊ(32767 GiB);Û 1.105,34;;Tot 2.000;Tot 500 MB/seconde;
